Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD_3correlation_energy_Delta_E_AB_AB,CCSD_3correlation_energy_BSSE_A,CCSD_3correlation_energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.0240716479142975,)","(0.000658687620841647,)","(0.0006586684287412936,)","(0.0002454924145129933,)","(0.00026190957308200313,)","(0.00026190957308200313,)","(-7.074377676299969e-05,)","(4.460794099100029e-05,)","(4.460489460000015e-05,)","(-0.00021000445556698666,)","(2.795796080898305e-05,)","(2.7941814948972965e-05,)","(0.024106903733013496,)","(0.00032421214601185966,)","(0.00032421214601185966,)",0.5,0.5,1.75
"(0.12070290145558715,)","(0.001611383743238548,)","(0.0016113992743669314,)","(0.0011765882546350137,)","(0.0008926818056940178,)","(0.0008926818056940178,)","(-9.749887761100005e-05,)","(7.474251050800006e-05,)","(7.474267620100018e-05,)","(-0.0001700866667209977,)","(3.978501587195704e-05,)","(3.98003815009762e-05,)","(0.11979389874596791,)","(0.0006041744109950287,)","(0.0006041744109950287,)",0.5,0.75,1.25
"(0.04580716853871536,)","(0.001011226916631358,)","(0.0010112120701535332,)","(0.000551234868569006,)","(0.00044632111081602255,)","(0.00044632111081602255,)","(-7.834306301499972e-05,)","(5.4135318078e-05,)","(5.41360346390002e-05,)","(-0.00024086894458999475,)","(3.592057015797123e-05,)","(3.5905007195968786e-05,)","(0.045575145676991724,)","(0.0004748499169977549,)","(0.0004748499169977549,)",0.5,0.75,1.5
"(0.016413369772635633,)","(0.0004901239665855428,)","(0.0004901162063788433,)","(0.00011352547875198571,)","(0.0001950284944400027,)","(0.0001950284944400027,)","(-6.591607278500031e-05,)","(3.974481376900008e-05,)","(3.9743580025999956e-05,)","(-0.00018203997457894028,)","(2.1659396894996297e-05,)","(2.1652870457994355e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",0.5,0.75,1.75
"(0.14594729394045203,)","(0.0017274926461539053,)","(0.0017274370059681132,)","(0.0012962344966599981,)","(0.000994131970583012,)","(0.000994131970583012,)","(-0.00010560737555000014,)","(8.007133008500027e-05,)","(8.007029398900004e-05,)","(-0.00012321303380496973,)","(4.047364419498822e-05,)","(4.0419039661981904e-05,)","(0.14487987985302198,)","(0.0006128157010039104,)","(0.0006128157010039104,)",0.5,1.0,1.0
"(0.06430520948597973,)","(0.0012185251609935221,)","(0.0012185220943763397,)","(0.0007545861732219938,)","(0.0005829491910820106,)","(0.0005829491910820106,)","(-8.288903401999954e-05,)","(6.02773971080002e-05,)","(6.027752618500016e-05,)","(-0.00023912870604500536,)","(3.8069819355973644e-05,)","(3.806662342498157e-05,)","(0.06387264105200074,)","(0.0005372287529894493,)","(0.0005372287529894493,)",0.5,1.0,1.25
"(0.026030097231512173,)","(0.0006974712584622011,)","(0.0006975978143657358,)","(0.0002769030814540052,)","(0.00027918703443802206,)","(0.00027918703443802206,)","(-7.167650740600058e-05,)","(4.565479234499995e-05,)","(4.5665655911999916e-05,)","(-0.00021511020469697217,)","(2.9133897644972873e-05,)","(2.924959007696848e-05,)","(0.026039980863004075,)","(0.0003434955339969292,)","(0.0003434955339969292,)",0.5,1.0,1.5
"(0.00979722973855246,)","(0.00032820651168208315,)","(0.00032819064921341123,)","(-1.2471863865992638e-05,)","(0.000140917217493014,)","(0.000140917217493014,)","(-5.879108188499996e-05,)","(3.368829423000021e-05,)","(3.368826089500008e-05,)","(-0.00014311350004303502,)","(1.3563606353961255e-05,)","(1.3547777277966855e-05,)","(0.010011606184036737,)","(0.0001400373930096066,)","(0.0001400373930096066,)",0.5,1.0,1.75
"(0.12070295353950655,)","(0.0016114022618864965,)","(0.0016113996667854735,)","(0.0011765882288800045,)","(0.0008926817923710084,)","(0.0008926817923710084,)","(-9.749863592699998e-05,)","(7.474249679000023e-05,)","(7.474279559299994e-05,)","(-0.00017003479795102416,)","(3.980356199698165e-05,)","(3.980066775596813e-05,)","(0.11979389874400681,)","(0.0006041744100002688,)","(0.0006041744109950287,)",0.5,1.25,0.75
"(0.06430523582255887,)","(0.0012185433445210947,)","(0.0012185284380450412,)","(0.0007545869629380086,)","(0.0005829494008130209,)","(0.0005829494008120217,)","(-8.288734809400004e-05,)","(6.027854663300013e-05,)","(6.0277009575000155e-05,)","(-0.00023910484379499608,)","(3.8086643567969425e-05,)","(3.8073273960964604e-05,)","(0.06387264105097756,)","(0.0005372287529894493,)","(0.0005372287529894493,)",0.5,1.25,1.0
"(0.03049180211434077,)","(0.00077984777351503,)","(0.0007798943207717457,)","(0.0003452627099069794,)","(0.00031832375314699846,)","(0.00031832375314599926,)","(-7.355197420499948e-05,)","(4.7856110738000134e-05,)","(4.785743820600024e-05,)","(-0.00022479577639597514,)","(3.138771482300018e-05,)","(3.143293456997487e-05,)","(0.030444887154970957,)","(0.000382280194003215,)","(0.00038228019499797483,)",0.5,1.25,1.25
"(0.01312187688304789,)","(0.00041024131624567417,)","(0.00041021327183443645,)","(5.210725547705186e-05,)","(0.0001674402347410231,)","(0.0001674402347400239,)","(-6.290338185699958e-05,)","(3.706205373900026e-05,)","(3.706124859600025e-05,)","(-0.00016495553714701572,)","(1.796809481996453e-05,)","(1.794085580897331e-05,)","(0.01329762854700789,)","(0.0001877709329960453,)","(0.00018777093200128547,)",0.5,1.25,1.5
"(0.00519492467142868,)","(0.000229084284143255,)","(0.0002290813164336214,)","(-0.00010215837562199681,)","(0.00010607907296600327,)","(0.00010607907296600327,)","(-4.9487981689000024e-05,)","(2.6927102198000003e-05,)","(2.6927208166000003e-05,)","(-0.00010150540701597821,)","(7.084261385986723e-06,)","(7.081188230978475e-06,)","(0.005448076436039173,)","(8.89938470152174e-05,)","(8.89938470152174e-05,)",0.5,1.25,1.75
"(0.09158122543192349,)","(0.0014399776491700322,)","(0.0014399639654811835,)","(0.0009895258631330006,)","(0.0007500155063930036,)","(0.0007500155063930036,)","(-8.947793552500005e-05,)","(6.78393177130001e-05,)","(6.783877444899991e-05,)","(-0.00021393539429601094,)","(3.914833712898025e-05,)","(3.91351965499942e-05,)","(0.090895112898977,)","(0.0005829744879974896,)","(0.0005829744879974896,)",0.5,1.5,0.25
"(0.07014733978127197,)","(0.0012728250682130238,)","(0.0012728325046964528,)","(0.0008106892092129558,)","(0.0006219624730759987,)","(0.0006219624730759987,)","(-8.4260026351e-05,)","(6.201885632400005e-05,)","(6.201966253400028e-05,)","(-0.00023551039860492118,)","(3.842336534698454e-05,)","(3.842999552500226e-05,)","(0.06965642099697789,)","(0.0005504203730026802,)","(0.0005504203730026802,)",0.5,1.5,0.5
"(0.04580714759680404,)","(0.0010112145108394088,)","(0.0010112202012635407,)","(0.0005512366828649973,)","(0.00044632194662699853,)","(0.00044632194662699853,)","(-7.834249563800017e-05,)","(5.413544031200026e-05,)","(5.413546713300011e-05,)","(-0.00024089226854998036,)","(3.590720616999943e-05,)","(3.591286992399301e-05,)","(0.045575145676991724,)","(0.0004748499169977549,)","(0.0004748499169977549,)",0.5,1.5,0.75
"(0.026030027240665277,)","(0.0006974958601517756,)","(0.0006975037131269346,)","(0.00027690453778100865,)","(0.00027918771996102154,)","(0.00027918771996202074,)","(-7.168418822000016e-05,)","(4.565546747200026e-05,)","(4.565729993400011e-05,)","(-0.00021517396266698685,)","(2.9157138312974062e-05,)","(2.9163159109973913e-05,)","(0.02603998085396597,)","(0.0003434955339969292,)","(0.0003434955339969292,)",0.5,1.5,1.0
"(0.013121901747723541,)","(0.00041024720826499106,)","(0.00041025142493822386,)","(5.2106345163005496e-05,)","(0.00016743983279501884,)","(0.00016743983279501884,)","(-6.290065408200022e-05,)","(3.7063684832000076e-05,)","(3.7062450171000336e-05,)","(-0.0001649324691970211,)","(1.797275819295785e-05,)","(1.7978209316954485e-05,)","(0.013297628524981064,)","(0.00018777093200128547,)","(0.00018777093200128547,)",0.5,1.5,1.25
"(0.0059664103194450036,)","(0.0002428749812679598,)","(0.00024288548917184016,)","(-8.764062140198536e-05,)","(0.00011194941210401765,)","(0.0001119494120390141,)","(-5.153114433300047e-05,)","(2.831710823599995e-05,)","(2.831995088099998e-05,)","(-0.00010974382016901152,)","(8.061287949973073e-06,)","(8.068881262979222e-06,)","(0.006215325906026692,)","(9.454717300627635e-05,)","(9.454724499846634e-05,)",0.5,1.5,1.5
"(0.0024768111422019956,)","(0.00019621583876983095,)","(0.00019622530311380615,)","(-0.00014523447403996803,)","(8.258448044301536e-05,)","(8.258448044301536e-05,)","(-3.904640707999996e-05,)","(2.067539574000018e-05,)","(2.0675368656000205e-05,)","(-6.605106617807444e-05,)","(5.454987811959189e-06,)","(5.464478989969379e-06,)","(0.002727143088975481,)","(8.750097399001788e-05,)","(8.750097501319942e-05,)",0.5,1.5,1.75
"(0.03049176726432279,)","(0.0007798486182934994,)","(0.0007798426634337829,)","(0.0003452611018079921,)","(0.00031832321119001916,)","(0.00031832321119101836,)","(-7.355660037999942e-05,)","(4.78559626490003e-05,)","(4.785549242200017e-05,)","(-0.0002248243918589743,)","(3.13892495389656e-05,)","(3.138376504396856e-05,)","(0.030444887154970957,)","(0.00038228019499797483,)","(0.000382280194003215,)",0.5,1.75,0.25
"(0.024071659898169173,)","(0.0006586913919477411,)","(0.000658691827226221,)","(0.00024549194919998296,)","(0.0002619095371600155,)","(0.0002619095371600155,)","(-7.074168034100015e-05,)","(4.4606030102000305e-05,)","(4.460769063500004e-05,)","(-0.00020999414121600224,)","(2.7963679364972904e-05,)","(2.7962453733959558e-05,)","(0.02410690376996172,)","(0.0003242121449886781,)","(0.0003242121449886781,)",0.5,1.75,0.5
"(0.016413493602243534,)","(0.0004902102823507448,)","(0.0004901551320415365,)","(0.00011352463484098907,)","(0.00019502846439900523,)","(0.00019502846439900523,)","(-6.590671354500055e-05,)","(3.9748018750999925e-05,)","(3.9746094239000076e-05,)","(-0.0001819246595249624,)","(2.1742538477975693e-05,)","(2.1689312422995544e-05,)","(0.016547800340021013,)","(0.00023369126000716278,)","(0.0002336912610019226,)",0.5,1.75,0.75
"(0.009797190008924872,)","(0.00032820061548477497,)","(0.00032818147479929394,)","(-1.2472144837016863e-05,)","(0.00014091722319900524,)","(0.00014091722319800604,)","(-5.8791902472999855e-05,)","(3.368835684799997e-05,)","(3.368850368700013e-05,)","(-0.0001431521271119951,)","(1.3557642440986672e-05,)","(1.3538354528969121e-05,)","(0.010011606184036737,)","(0.0001400373930096066,)","(0.0001400373930096066,)",0.5,1.75,1.0
"(0.005194891829347625,)","(0.00022907842111408172,)","(0.00022906099522401746,)","(-0.0001021595869640235,)","(0.0001060787457110024,)","(0.0001060787457120016,)","(-4.949111176999997e-05,)","(2.6927511449999914e-05,)","(2.6924498269000063e-05,)","(-0.0001015339082099942,)","(7.078316190983758e-06,)","(7.063903734977339e-06,)","(0.005448076436039173,)","(8.89938470152174e-05,)","(8.89938470152174e-05,)",0.5,1.75,1.25
"(0.0024768447158862728,)","(0.0001962281468479432,)","(0.00019623356402576064,)","(-0.0001452341763990006,)","(8.25844461020131e-05,)","(8.25844461020131e-05,)","(-3.90421224919996e-05,)","(2.0676859859000262e-05,)","(2.0675185454000194e-05,)","(-6.60220167519876e-05,)","(5.465865302978212e-06,)","(5.472957152974356e-06,)","(0.002727143030995194,)","(8.750097501319942e-05,)","(8.750097501319942e-05,)",0.5,1.75,1.5
"(0.0010598849696918933,)","(0.0001765338783172865,)","(0.00017652386475219828,)","(-0.00015134293706497992,)","(6.578226183601155e-05,)","(6.578226183601155e-05,)","(-2.916523152799973e-05,)","(1.6444552539000238e-05,)","(1.6444546903000325e-05,)","(-4.072704369903479e-05,)","(7.397352539961766e-06,)","(7.387344775983129e-06,)","(0.0012811201819999951,)","(8.690971100122624e-05,)","(8.690971100122624e-05,)",0.5,1.75,1.75
"(0.05900253314644033,)","(0.00116510890680388,)","(0.00116509408567822,)","(0.000700523027088007,)","(0.0005458602420310155,)","(0.0005458602420320147,)","(-8.163562154699967e-05,)","(5.8625178090000295e-05,)","(5.862463051700033e-05,)","(-0.00024133409864401933,)","(3.763283881297319e-05,)","(3.7618565382979696e-05,)","(0.0586249798400047,)","(0.0005229906479939928,)","(0.0005229906469992329,)",0.75,0.25,1.5
"(0.020620481852091643,)","(0.0005860531243513378,)","(0.0005860677738382947,)","(0.0001878836507129833,)","(0.00023151531737400366,)","(0.00023151531737300446,)","(-6.883928092199986e-05,)","(4.259118305600029e-05,)","(4.2593144299000324e-05,)","(-0.00019907597845100766,)","(2.5466445987970543e-05,)","(2.547913426698134e-05,)","(0.020700513462031722,)","(0.000286480178004922,)","(0.000286480178004922,)",0.75,0.25,1.75
"(0.12070291902267627,)","(0.001611392469214934,)","(0.0016113926516823085,)","(0.0011765882485509915,)","(0.0008926818026180061,)","(0.0008926818026190053,)","(-9.749835762199984e-05,)","(7.474266407800009e-05,)","(7.474268549900005e-05,)","(-0.00017006961235599416,)","(3.979359208497457e-05,)","(3.979375265097951e-05,)","(0.11979389874400681,)","(0.0006041744100002688,)","(0.0006041744109950287,)",0.75,0.5,1.25
"(0.045807159524969165,)","(0.0010112217066478024,)","(0.0010112180192436426,)","(0.0005512348685710045,)","(0.00044632111081602255,)","(0.00044632111081702175,)","(-7.834469081499998e-05,)","(5.4134694825000006e-05,)","(5.4136307610000173e-05,)","(-0.00024087633088804017,)","(3.591598331395551e-05,)","(3.591068331695868e-05,)","(0.045575145678014906,)","(0.0004748499169977549,)","(0.0004748499169977549,)",0.75,0.5,1.5
"(0.016413376209413855,)","(0.0004901339034404373,)","(0.0004901111662434232,)","(0.00011352547874998731,)","(0.0001950284944390035,)","(0.0001950284944390035,)","(-6.591539986899961e-05,)","(3.9744914906999964e-05,)","(3.97443167240003e-05,)","(-0.00018203421064996728,)","(2.166923267099552e-05,)","(2.16470936159896e-05,)","(0.016547800341015773,)","(0.0002336912610019226,)","(0.0002336912610019226,)",0.75,0.5,1.75
