Total_energy_Delta_E_AB_AB,Total_energy_BSSE_A,Total_energy_BSSE_B,MP2_correlation_energy_Delta_E_AB_AB,MP2_correlation_energy_BSSE_A,MP2_correlation_energy_BSSE_B,(T)_correlation_energy_Delta_E_AB_AB,(T)_correlation_energy_BSSE_A,(T)_correlation_energy_BSSE_B,CCSD corr.energy_Delta_E_AB_AB,CCSD corr.energy_BSSE_A,CCSD corr.energy_BSSE_B,SCF_energy_Delta_E_AB_AB,SCF_energy_BSSE_A,SCF_energy_BSSE_B,x,y,z
"(0.07283468374153301,)","(0.0019505813805835714,)","(0.0025158385586934173,)","(-0.009796395783366996,)","(0.0012981074272570003,)","(0.0018273143134189818,)","(-0.001422666769264,)","(0.0001731203932869999,)","(0.00022684566436100007,)","(0.002131444488936013,)","(-9.773456527401025e-05,)","(-0.00012969431446299695,)","(0.08192230180499394,)","(0.0005770881249986815,)","(0.000591372894987785,)",0.5,1.5,1.25
"(0.0372043095252792,)","(0.0014465001505215014,)","(0.001753377692665481,)","(-0.006622320815315996,)","(0.0009355045038859922,)","(0.0011955588126709993,)","(-0.0010424747560250002,)","(0.0001358415503949998,)","(0.00016576601517999997,)","(0.0011018606867140013,)","(-6.86241897999984e-05,)","(-8.523522765502278e-05,)","(0.04376724440899693,)","(0.00044377828599806435,)","(0.00047728809200009437,)",0.5,1.5,1.5
"(0.01852968699712676,)","(0.001064165177311338,)","(0.0011668090779437534,)","(-0.004427547170749002,)","(0.0006633696003499889,)","(0.0007417738283369835,)","(-0.0007534896568420005,)","(0.00010497876609799964,)","(0.00011572684157800002,)","(0.0005233035125609686,)","(-4.5732384861996156e-05,)","(-4.628252422700374e-05,)","(0.023187420311984397,)","(0.0003415491959941619,)","(0.0003555909319885586,)",0.5,1.5,1.75
"(0.07313024850044769,)","(0.0020294916450751543,)","(0.0025185560120064565,)","(-0.010349208505887969,)","(0.0013091734956389989,)","(0.0017944732121950024,)","(-0.0014936278599700006,)","(0.0001711326911659995,)","(0.0002220510733019999,)","(0.002426536765676973,)","(-9.135537617602218e-05,)","(-0.0001244414092440027,)","(0.08254654809999806,)","(0.0006405408339986707,)","(0.0006264731359948428,)",0.5,1.75,1.0
"(0.03851774428200372,)","(0.00150343466388847,)","(0.0018394893164668247,)","(-0.0075481452795210235,)","(0.000958196303135983,)","(0.001282015993051,)","(-0.0011502494856940005,)","(0.00013747248959000008,)","(0.00017320243114099954,)","(0.0014659666198510446,)","(-6.926079941499408e-05,)","(-9.612635395700453e-05,)","(0.045750172428000724,)","(0.00047702667099258633,)","(0.0004803972459939132,)",0.5,1.75,1.25
"(0.01936788512733756,)","(0.001120863674799466,)","(0.0012749863797978378,)","(-0.005280556628342009,)","(0.0007054811172730047,)","(0.0008367454105759897,)","(-0.0008544104844800003,)","(0.00010928890107299999,)","(0.00012571761225099991,)","(0.0008131637130400216,)","(-4.976143870100147e-05,)","(-5.7849429913992e-05,)","(0.024689688526990494,)","(0.0003558550949946948,)","(0.0003703727869890372,)",0.5,1.75,1.5
"(0.009468279037108118,)","(0.0008528282058648529,)","(0.0008801407518177484,)","(-0.003662560656319036,)","(0.0005189762083759875,)","(0.0005526146986419844,)","(-0.0006251874354979998,)","(8.592853268600022e-05,)","(9.008790388199961e-05,)","(0.00042717074885603723,)","(-3.353790235599563e-05,)","(-3.403623320000215e-05,)","(0.013328856379004606,)","(0.0002814613669954724,)","(0.00027147438198937834,)",0.5,1.75,1.75
"(0.06118690289811468,)","(0.0016735207497475812,)","(0.002041708556987487,)","(-0.005789321821525001,)","(0.001122795432468987,)","(0.0013410810876129942,)","(-0.0009920376644309992,)","(0.00016159084333899985,)","(0.0001858294446870001,)","(0.0005288865215359873,)","(-8.215528934998884e-05,)","(-8.272740543199819e-05,)","(0.06743937586200843,)","(0.0004712897629985946,)","(0.0005975254299954713,)",0.75,0.75,1.75
"(0.041413134530856155,)","(0.0014385710527449191,)","(0.0017518885753560198,)","(-0.0051977802284619845,)","(0.0009370456407220007,)","(0.001134928473398994,)","(-0.0008967893551350007,)","(0.00014009052370600027,)","(0.0001645084253319995,)","(0.0005488788563769442,)","(-6.72925039100214e-05,)","(-6.860774124800573e-05,)","(0.046958825257988224,)","(0.0004287273919914014,)","(0.0005210594179914096,)",0.75,1.0,1.75
"(0.05007738970300579,)","(0.0016355719677108027,)","(0.0021475472149745656,)","(-0.006886074557251015,)","(0.0010663441864629808,)","(0.0014827369897389975,)","(-0.001085910647287999,)","(0.00015036194884299973,)","(0.00019661936267000024,)","(0.0012028408179650396,)","(-7.79945857459774e-05,)","(-0.00010100173341201502,)","(0.0568465340889901,)","(0.0004968604179964586,)","(0.0005691925959894206,)",0.75,1.25,1.5
"(0.025130512733895216,)","(0.001195702554809941,)","(0.0014189240860531527,)","(-0.004548350526244999,)","(0.0007517887394439815,)","(0.0009044139436159837,)","(-0.0007889206255489991,)","(0.00011738439800000004,)","(0.00013733349708900007,)","(0.0005248909394000023,)","(-5.216057005799635e-05,)","(-5.3803735499985406e-05,)","(0.029942892946010602,)","(0.00037868998698797895,)","(0.00043098038099742553,)",0.75,1.25,1.75
"(0.05332694121157999,)","(0.0017189640292940567,)","(0.002387279903771855,)","(-0.00800047507309301,)","(0.0011177851183379883,)","(0.0017107956961960047,)","(-0.0012017704865630004,)","(0.00015302613849499987,)","(0.00021474446126200017,)","(0.0017703847459690225,)","(-8.221324921400819e-05,)","(-0.00011847125428801619,)","(0.060758802025986824,)","(0.0005303660219908579,)","(0.0005802110009938133,)",0.75,1.5,1.25
"(0.02740324536030414,)","(0.0013065085351797734,)","(0.0016584122727891781,)","(-0.005629703191110003,)","(0.000825415028339993,)","(0.0011130616117019931,)","(-0.0009124115477709997,)","(0.0001227186426229999,)","(0.0001566836584509998,)","(0.0009475556263019991,)","(-5.855538679500061e-05,)","(-7.583205755601341e-05,)","(0.03299780447299838,)","(0.00041693025099220904,)","(0.0004644990599871335,)",0.75,1.5,1.5
"(0.013678041548544684,)","(0.000973284454104828,)","(0.0011006151008530196,)","(-0.0038750572157470187,)","(0.0005941701639289865,)","(0.0006929525763819944,)","(-0.0006739843477219995,)","(9.682292550699991e-05,)","(0.00010991711670299987,)","(0.00046253545203103763,)","(-3.9189409201001446e-05,)","(-4.0576314252999124e-05,)","(0.017764547659993468,)","(0.0003214807739908565,)","(0.00033832172199765864,)",0.75,1.5,1.75
"(0.0917963407212028,)","(0.0023339183949246944,)","(0.003079273551577444,)","(-0.009960455942381985,)","(0.0015193280074080051,)","(0.002152463190149001,)","(-0.0014362581842069996,)","(0.00018743557734000015,)","(0.00025408198948799997,)","(0.002799325529599994,)","(-9.837740893300917e-05,)","(-0.0001078088382250042,)","(0.10039372931800017,)","(0.0007255322189934077,)","(0.0007805372099909391,)",0.75,1.75,0.75
"(0.052243619890305126,)","(0.0017682529344682507,)","(0.0023957612334442047,)","(-0.008201287831221982,)","(0.0011447605899049806,)","(0.0016965772768749998,)","(-0.0012221588653610008,)","(0.00015385483516699994,)","(0.0002128471327619997,)","(0.001961266592961003,)","(-7.886799851899995e-05,)","(-0.00011112614295100132,)","(0.05970579999399206,)","(0.0005485055079930135,)","(0.0005974629669935894,)",0.75,1.75,1.0
"(0.027660409221809346,)","(0.0013477672895021442,)","(0.0017543109304227755,)","(-0.0062345942477730065,)","(0.0008612968806489818,)","(0.0012132717270049997,)","(-0.0009781700005499997,)","(0.00012551058727399995,)","(0.0001654279761929998,)","(0.0012262404626609824,)","(-5.982813883498306e-05,)","(-8.733002889901864e-05,)","(0.03364693300699173,)","(0.00042078795999600516,)","(0.00046294125598933533,)",0.75,1.75,1.25
"(0.013846820097924706,)","(0.0010396846223841294,)","(0.0012171965496037274,)","(-0.004512530481510013,)","(0.0006476306140429933,)","(0.0007909819468659984,)","(-0.0007480568354790006,)","(0.00010161586080499954,)","(0.00011995543327199959,)","(0.000700868925431003,)","(-4.307633279199141e-05,)","(-5.1585821182004166e-05,)","(0.01840653848999807,)","(0.0003335144799905265,)","(0.0003578449910008885,)",0.75,1.75,1.5
"(0.006669624422613651,)","(0.0008001096925625006,)","(0.0008395226232948971,)","(-0.003213923401437002,)","(0.0004834275560720025,)","(0.0005277156044399822,)","(-0.0005585358784510009,)","(8.146910857100009e-05,)","(8.664692075799948e-05,)","(0.00037723854335600104,)","(-2.9386188661023604e-05,)","(-3.091876006700023e-05,)","(0.010064845158993307,)","(0.0002645992169902911,)","(0.0002560788579870632,)",0.75,1.75,1.75
"(0.06567408062531399,)","(0.0016351715335218842,)","(0.0019731472698509833,)","(-0.005227502243400017,)","(0.0011310121311499943,)","(0.0012899194351219945,)","(-0.0009303696845800007,)","(0.00016303803138799974,)","(0.0001748211711439995,)","(0.00025361727462006045,)","(-8.241694090999063e-05,)","(-7.614674261000043e-05,)","(0.07157833527899982,)","(0.00042353831199193337,)","(0.0005845534060000546,)",1.0,0.25,1.75
"(0.055637635157992804,)","(0.0015432658320975179,)","(0.0019166370437346814,)","(-0.005037341465181977,)","(0.0010481680834329987,)","(0.0012418445697089942,)","(-0.0008985861674070004,)","(0.000153765383893,)","(0.00017316317157499948,)","(0.00032685427534298594,)","(-7.679901902099551e-05,)","(-7.297563620500824e-05,)","(0.061246708515994897,)","(0.00041813138399504624,)","(0.0005746049389898644,)",1.0,0.5,1.75
"(0.04205448117120625,)","(0.001391594785289385,)","(0.001770209234422282,)","(-0.0047165978285680366,)","(0.0009210326746619812,)","(0.001133080253177987,)","(-0.0008435468187020009,)","(0.00013925311358199948,)","(0.0001641172922039998,)","(0.00039884573516404953,)","(-6.662604849999587e-05,)","(-6.514737382698477e-05,)","(0.04721578008400229,)","(0.00039793504599572316,)","(0.0005381590629980337,)",1.0,0.75,1.75
"(0.0558493715899715,)","(0.0016770213527763644,)","(0.0022907120439867867,)","(-0.006541159985892997,)","(0.0011125515763789895,)","(0.0015718164296749937,)","(-0.0010547182533630003,)","(0.0001575884373689997,)","(0.00020755104310499987,)","(0.0010980109170130037,)","(-8.125814864801129e-05,)","(-9.955218203799854e-05,)","(0.06234723891199678,)","(0.00048813948799875106,)","(0.0006108967529883103,)",1.0,1.0,1.5
"(0.028262220292674556,)","(0.0012077895223967516,)","(0.0015377211139480096,)","(-0.004283004304269977,)","(0.0007731522005000047,)","(0.0009722278620249991,)","(-0.0007677390716499992,)","(0.00012159584416699971,)","(0.00014672740417500003,)","(0.00043555810115097904,)","(-5.394282167300868e-05,)","(-5.443678295100063e-05,)","(0.03287740556700669,)","(0.000366984298992179,)","(0.0004732026309994808,)",1.0,1.0,1.75
"(0.0634613685294596,)","(0.001843227452013707,)","(0.0026741418409983453,)","(-0.007791421677000976,)","(0.0012086463216730015,)","(0.0019107156998879882,)","(-0.0011818695485040004,)","(0.00016249541910500018,)","(0.00023486258115099946,)","(0.0018313654078899733,)","(-8.848284463500167e-05,)","(-0.00011941312034299822,)","(0.07060329434700918,)","(0.0005605685559970652,)","(0.0006479766799998288,)",1.0,1.25,1.25
"(0.03316192854939004,)","(0.0014003994154165866,)","(0.0018993822515085412,)","(-0.005507701020905004,)","(0.0008899763424430052,)","(0.0012761632005829915,)","(-0.0009097503227210001,)","(0.0001314655443349997,)","(0.00017604103820499997,)","(0.0009443588663019808,)","(-6.253856683702264e-05,)","(-8.159981746899692e-05,)","(0.03863502102601046,)","(0.00044149609499299913,)","(0.0005287778299987167,)",1.0,1.25,1.5
"(0.016789723923579913,)","(0.0010208779472691276,)","(0.001263519396616175,)","(-0.0037737497944229648,)","(0.0006313404238039999,)","(0.0007919914652760041,)","(-0.0006770062194320003,)","(0.00010329687863199974,)","(0.00012429632858099952,)","(0.000426891715660932,)","(-4.17893185760132e-05,)","(-4.358072298701887e-05,)","(0.02081358822201196,)","(0.00032802996300063114,)","(0.0003908123259890317,)",1.0,1.25,1.75
"(0.06332236898695953,)","(0.0019026106153035016,)","(0.002828872871404542,)","(-0.007936856868496045,)","(0.0012455444704299878,)","(0.002013251026930979,)","(-0.0011822986244499996,)","(0.00016252441387199987,)","(0.00024204430651799964,)","(0.0022057187946700474,)","(-9.022603705099996e-05,)","(-0.0001079054309619798,)","(0.07023580568500165,)","(0.0005847677679895469,)","(0.0006814829690000579,)",1.0,1.5,1.0
"(0.03429622624311435,)","(0.0014818534522902382,)","(0.0021137640790698242,)","(-0.006224271539509996,)","(0.0009468350079799848,)","(0.001477832188089001,)","(-0.0009821938341800004,)","(0.00013366263451099984,)","(0.00019187243347199966,)","(0.001372861282954968,)","(-6.631938347800848e-05,)","(-0.00010004530643700771,)","(0.04012983033398143,)","(0.0004676751929935108,)","(0.0005441047639891394,)",1.0,1.5,1.25
"(0.01760107158392543,)","(0.001142164527337286,)","(0.0014807287554248205,)","(-0.004547748228954013,)","(0.0007071780680379947,)","(0.0009698258093299994,)","(-0.0007673130234510011,)","(0.00010904703933099953,)","(0.0001416727588569996,)","(0.0007565591666330307,)","(-4.7030364956013315e-05,)","(-6.07692846240071e-05,)","(0.022159573669981114,)","(0.0003729697849905733,)","(0.0004299994719900724,)",1.0,1.5,1.5
"(0.008695869393704925,)","(0.0008524305605419613,)","(0.000998174685463482,)","(-0.003231872254079976,)","(0.0005183330429660016,)","(0.0006257061086169802,)","(-0.0005785040146840011,)","(8.734485819199972e-05,)","(0.00010143445507899973,)","(0.0003811516505419499,)","(-3.2216722420014277e-05,)","(-3.4307921442988665e-05,)","(0.012125094012006343,)","(0.00027896938199489796,)","(0.0003053420429921516,)",1.0,1.5,1.75
"(0.12031565600916849,)","(0.0026689899056577815,)","(0.003569399113970917,)","(-0.008703063815453993,)","(0.0017357621051810046,)","(0.0024696507861989847,)","(-0.001285415013851,)","(0.00019452272240100005,)","(0.0002644782932699997,)","(0.0031769050062019633,)","(-0.0001093994817790156,)","(-9.439415081000102e-05,)","(0.12712722983199853,)","(0.0008481045599921799,)","(0.0009296641849942944,)",1.0,1.75,0.25
"(0.08897504503438824,)","(0.002325502147897396,)","(0.003224342845712158,)","(-0.008241324300542002,)","(0.0015335220116790005,)","(0.002213035279691994,)","(-0.001220127171761001,)","(0.00018187031641499988,)","(0.0002524666212679995,)","(0.0027195237010879947,)","(-0.00010008430292102188,)","(-8.405614789600002e-05,)","(0.09571697280600233,)","(0.0007101941229876729,)","(0.0008428970929941215,)",1.0,1.75,0.5
"(0.05684476416247719,)","(0.0018723886588247751,)","(0.002701653964876982,)","(-0.007444168478404012,)","(0.0012487737942999955,)","(0.0018627980960470025,)","(-0.0011198767897119995,)","(0.00015958766074799981,)","(0.0002261226163890002,)","(0.0021296483613670314,)","(-8.476679555799449e-05,)","(-9.117741527200907e-05,)","(0.06327916106899067,)","(0.0005487939989876622,)","(0.0007039106679940232,)",1.0,1.75,0.75
"(0.032572998942185905,)","(0.0014822979181303708,)","(0.0021293543024683004,)","(-0.006263702222683992,)","(0.0009775772536169958,)","(0.001479794755481989,)","(-0.0009766240696829995,)","(0.0001350117216490001,)","(0.00019113011402599987,)","(0.001508696064982995,)","(-6.608204099900483e-05,)","(-9.541464599799321e-05,)","(0.03830462917001398,)","(0.0004357909839995955,)","(0.0005538440789933929,)",1.0,1.75,1.0
"(0.01710476182014986,)","(0.0011814219002985737,)","(0.0015735557633433928,)","(-0.004913468647761959,)","(0.0007576639530129936,)","(0.0010610259557100044,)","(-0.0008031352422090002,)","(0.00011248111130899956,)","(0.00014945338478399971,)","(0.0009650467586689582,)","(-4.923353304800426e-05,)","(-7.134511645801034e-05,)","(0.021856318950995046,)","(0.0003605103689920952,)","(0.0004344215389977535,)",1.0,1.75,1.25
"(0.00833006159329841,)","(0.0009311845912662875,)","(0.0011090624816745276,)","(-0.0036774278120500214,)","(0.0005792061032789952,)","(0.0007082321666289915,)","(-0.0006298934237609997,)","(9.276722984200014e-05,)","(0.00011024659179000029,)","(0.0005666874101160346,)","(-3.559175252099145e-05,)","(-4.235152277701215e-05,)","(0.012070695418998412,)","(0.0002948030109877209,)","(0.0003329352459928714,)",1.0,1.75,1.5
"(0.003795417074542229,)","(0.0007201958805751474,)","(0.0007761870400315729,)","(-0.002695017689623991,)","(0.0004418650833649951,)","(0.000491279910206005,)","(-0.00047945592125700053,)","(7.578496233699977e-05,)","(8.140592824699977e-05,)","(0.0003138286675869739,)","(-2.512495747700183e-05,)","(-2.7652240819020513e-05,)","(0.0066560620169866525,)","(0.00022767079200036733,)","(0.0002311534419874306,)",1.0,1.75,1.75
"(0.04099194442510168,)","(0.0012653759893623828,)","(0.0015986060584651796,)","(-0.003990610742620998,)","(0.0008629595631649833,)","(0.001035768855790986,)","(-0.0007505606382829993,)","(0.00013148157713799985,)","(0.00014739455528699989,)","(0.00012342036222101616,)","(-6.429093314200274e-05,)","(-5.8435765711989385e-05,)","(0.045609695443999954,)","(0.00033522578199551845,)","(0.0004738784129898477,)",1.25,0.25,1.75
"(0.06755208171239246,)","(0.001694159708037546,)","(0.002248224797526177,)","(-0.006075559687758997,)","(0.0011976460706749903,)","(0.0015137244626740043,)","(-0.0010091484157480008,)","(0.00017005705362599984,)","(0.00020095852692699964,)","(0.0007147006335280204,)","(-8.963230768399555e-05,)","(-8.965813083000596e-05,)","(0.07392208918200538,)","(0.0004160888910007543,)","(0.000623199938999619,)",1.25,0.5,1.5
"(0.03464396747114051,)","(0.0012068581714288484,)","(0.0015612197022676355,)","(-0.0038777256857189524,)","(0.0008068580743690046,)","(0.0009947072945890034,)","(-0.0007289372201529989,)","(0.00012497329284899984,)","(0.00014603069702400027,)","(0.00019396761606396695,)","(-5.951399938700086e-05,)","(-5.481465361201199e-05,)","(0.039056662760984295,)","(0.0003345408039905351,)","(0.0004752963639873542,)",1.25,0.5,1.75
"(0.05048985075387691,)","(0.0015457327432102375,)","(0.002144304732468072,)","(-0.005556984121549979,)","(0.0010511520563729893,)","(0.001432110746142995,)","(-0.0009371498510659998,)","(0.00015256562429299958,)","(0.0001940870126660001,)","(0.0007723370041579913,)","(-7.77131815639931e-05,)","(-8.523470159799151e-05,)","(0.056211647722008706,)","(0.000419728243997497,)","(0.0006033416749886555,)",1.25,0.75,1.5
"(0.025983322760751548,)","(0.001101447681222112,)","(0.0014599282960716664,)","(-0.0036668060308519546,)","(0.0007173567856700036,)","(0.0009145309995420015,)","(-0.0006885996582799998,)","(0.0001144374033100002,)","(0.00013925416881300015,)","(0.0002666930256829403,)","(-5.130452794502305e-05,)","(-4.8795339476020994e-05,)","(0.0300720354239985,)","(0.00032095801999787454,)","(0.000454938466987187,)",1.25,0.75,1.75
"(0.0625852609200166,)","(0.0017990341555531586,)","(0.0026605973380355863,)","(-0.006976356253803995,)","(0.001207144611242994,)","(0.0018812648827439826,)","(-0.0010945642156389998,)","(0.0001651302966540003,)","(0.0002341291862929997,)","(0.001549964568105966,)","(-8.766613373800691e-05,)","(-0.0001103963227560012,)","(0.06910621682101237,)","(0.0005144253809987731,)","(0.000655599591993905,)",1.25,1.0,1.25
"(0.03327801746192449,)","(0.0013465154731875373,)","(0.0019185546302082912,)","(-0.004902387815380993,)","(0.000876914540982987,)","(0.0012647591169869798,)","(-0.0008418152891759992,)","(0.0001318390949989999,)","(0.0001768793829809998,)","(0.0007576878720079727,)","(-6.214982423599635e-05,)","(-7.468611969099759e-05,)","(0.038264532694000764,)","(0.0003999116609918474,)","(0.0005516022499989504,)",1.25,1.0,1.5
"(0.017104257318564464,)","(0.0009694491926524051,)","(0.001291123869009425,)","(-0.0033615334013800124,)","(0.0006137712814729968,)","(0.0008017681292220025,)","(-0.0006299114552040007,)","(0.00010149439068699983,)","(0.00012623335934699997,)","(0.000311326730194017,)","(-4.164915093199384e-05,)","(-4.177802423702137e-05,)","(0.020784375444989678,)","(0.0002958326710000847,)","(0.00040490040498752933,)",1.25,1.0,1.75
"(0.06581389303015328,)","(0.0019323276698628433,)","(0.002944507305542743,)","(-0.0072084325045279896,)","(0.0012730707476109882,)","(0.002085928391866998,)","(-0.0011058198101699997,)","(0.00016512898071099989,)","(0.00024854333663799997,)","(0.002093216742954984,)","(-9.180150759899308e-05,)","(-0.0001011138690510116,)","(0.07203492860197969,)","(0.000585929448988054,)","(0.0007111494459905998,)",1.25,1.25,1.0
"(0.03656152502892951,)","(0.0015043962148411083,)","(0.0022421474201905767,)","(-0.005732872969060027,)","(0.0009678037763249936,)","(0.0015587782688809837,)","(-0.0009314271136269996,)","(0.0001370861540359999,)","(0.00020179313915799982,)","(0.0012814633209790316,)","(-6.726292452699512e-05,)","(-9.627402174100519e-05,)","(0.041944361791010465,)","(0.0004667692089981301,)","(0.0005778500339914672,)",1.25,1.25,1.25
"(0.019184242740536206,)","(0.0011388642627707668,)","(0.001601807763890406,)","(-0.004203178713795996,)","(0.000715224777822987,)","(0.0010397915051300055,)","(-0.000734319380879,)","(0.00011155805764300007,)","(0.00015161351374499976,)","(0.0006775809919520315,)","(-4.773467625199257e-05,)","(-6.0483107949010906e-05,)","(0.023444159844004275,)","(0.0003598161039946035,)","(0.0004708858529909321,)",1.25,1.25,1.5
"(0.009669445720348335,)","(0.0008364362193304942,)","(0.0010843670052054222,)","(-0.002987724579407991,)","(0.000519142691115998,)","(0.0006753246575839922,)","(-0.0005572680124470005,)","(8.838765305599957e-05,)","(0.00010918963274499961,)","(0.00031778727954095976,)","(-3.310946252702007e-05,)","(-3.5047513788993845e-05,)","(0.01289665103298887,)","(0.0002620153379950807,)","(0.00033490022899229643,)",1.25,1.25,1.75
"(0.09395867131375724,)","(0.002391675838964602,)","(0.0036284093417151553,)","(-0.007134019877986036,)","(0.0015546334478819812,)","(0.002505543541154981,)","(-0.0010936070775559997,)","(0.00018158961226400015,)","(0.0002763179550979997,)","(0.0028173404932879953,)","(-0.00010686601053300215,)","(-8.222921323999821e-05,)","(0.09936895777600796,)","(0.0007623187890004601,)","(0.0009287770589878619,)",1.25,1.5,0.5
"(0.0603313390298581,)","(0.0019343072958548646,)","(0.0029695529778308583,)","(-0.006706289851700964,)","(0.001278699641798997,)","(0.0020353242701030005,)","(-0.0010331353522889993,)","(0.00015993514166800019,)","(0.00024043567305699967,)","(0.0022211236058209682,)","(-9.102780126502008e-05,)","(-8.210442787401351e-05,)","(0.06584964062901122,)","(0.0005867003139883309,)","(0.0007758974630007742,)",1.25,1.5,0.75
"(0.035209295303829435,)","(0.001542954323767276,)","(0.002349930030845826,)","(-0.00583683739666202,)","(0.001008933602086981,)","(0.0016320344558150013,)","(-0.0009294342312480006,)","(0.00013624689476100012,)","(0.00020528347842099955,)","(0.0015743169575130334,)","(-6.98148795179876e-05,)","(-9.452324464401252e-05,)","(0.0404012499739963,)","(0.00046758870598750946,)","(0.0006071353409993208,)",1.25,1.5,1.0
"(0.0189384087986042,)","(0.0012306616972921347,)","(0.001776687753036299,)","(-0.0046677626795809946,)","(0.0007804766462369828,)","(0.0012042210066569858,)","(-0.000782587829432,)","(0.00011450587032300029,)","(0.00016541159362599978,)","(0.0009893888988669886,)","(-5.090594551998562e-05,)","(-7.568750347800024e-05,)","(0.023399370408000664,)","(0.000386585125994543,)","(0.0004827426559899095,)",1.25,1.5,1.25
